episode_label,Time_s,loop_dt,X,Y,Z,Vel_Z,Target_X,Target_Y,Target_Z,M1,M2,M3,M4,Obs_IsContact,VBat_V,Current_A,radial_error,power_W,relative_time_s,x_error_m,y_error_m
Release 1,67.67882570000074,0.0047558999976899,-0.134384591968813,0.7154535872617835,1.0324193889993063,-0.0229481280625157,0.4402563297203632,0.2259430492011267,1.0,126,68,0,0,0.0,3.884999990463257,0.9162499904632568,0.754872675192459,3.559631204211712,0.0,-0.5746409216891762,0.4895105380606568
Release 1,67.68391409999822,0.0049991000014415,-0.1343092313598447,0.7155093748971081,1.0322981326713738,-0.0236775154993922,0.4402563297203632,0.2259430492011267,1.0,104,61,0,0,0.0,3.884999990463257,0.1599999964237213,0.7548514895228583,0.6215999845802784,0.00508839999747579,-0.574565561080208,0.48956632569598135
Release 1,67.68897369999831,0.0050851000014517,-0.1343006167718479,0.715530899315434,1.0321632906036746,-0.0249993068568969,0.4402563297203632,0.2259430492011267,1.0,104,61,0,0,0.0,3.8874998092651367,0.1599999964237213,0.7548588926031162,0.6219999555796392,0.010147999997570878,-0.5745569464922111,0.4895878501143073
Release 1,67.6939652000001,0.0049265999987255,-0.1342480057183114,0.7155621110374004,1.03205271317315,-0.0238392659846928,0.4402563297203632,0.2259430492011267,1.0,67,71,0,0,0.0,3.8874998092651367,0.9149999618530272,0.7548390935499207,3.5570621771812507,0.015139499999349937,-0.5745043354386746,0.4896190618362737
Release 1,67.69887899999958,0.0049857000012707,-0.1341912957898037,0.7156089390285348,1.0319077429650492,-0.0258637258085589,0.4402563297203632,0.2259430492011267,1.0,67,71,0,0,0.0,3.884999990463257,0.9149999618530272,0.7548263098983343,3.554774843072891,0.020053299998835428,-0.5744476255101669,0.4896658898274081
Release 1,67.7040362000007,0.0050460999991628,-0.134114298101845,0.7156551784088231,1.0317638871360737,-0.0270823804065203,0.4402563297203632,0.2259430492011267,1.0,23,80,0,0,0.0,3.884999990463257,1.6524999141693115,0.7547977130317851,6.419962150788308,0.025210499999957392,-0.5743706278222083,0.48971212920769636
Release 1,67.7088291,0.0049694999979692,-0.1340760019992523,0.7157415910248118,1.0316338354278112,-0.0268864264323077,0.4402563297203632,0.2259430492011267,1.0,23,80,0,0,0.0,3.8874998092651367,1.6524999141693115,0.7548246411128208,6.424093101143853,0.030003399999259273,-0.5743323317196155,0.4897985418236851
Release 1,67.71396850000019,0.0049568000031285,-0.1340223694038299,0.7158241847910475,1.0314940674844648,-0.0274156777569378,0.4402563297203632,0.2259430492011267,1.0,38,81,0,0,0.0,3.8874998092651367,0.8987500071525574,0.7548374336734008,3.493890481382607,0.03514279999944847,-0.574278699124193,0.48988113558992075
Release 1,67.71878099999958,0.0049785999981395,-0.1339265749691535,0.7158830690250674,1.0313609138469744,-0.0272665660491579,0.4402563297203632,0.2259430492011267,1.0,38,81,0,0,0.0,3.8924999237060542,0.8987500071525574,0.7548027762685919,3.4983843342721452,0.03995529999883729,-0.5741829046895167,0.48994001982394064
Release 1,67.72406430000046,0.0050594999993336,-0.1338428010977135,0.7159517825044093,1.0312675651119887,-0.0235108767168729,0.4402563297203632,0.2259430492011267,1.0,63,89,0,0,0.0,3.8924999237060542,0.0974999964237213,0.75478365822238,0.3795187286406757,0.045238599999720464,-0.5740991308180767,0.49000873330328254
Release 1,67.72875199999908,0.0049438000023656,-0.1337315151914642,0.7160193734059729,1.0311834498792312,-0.0202768905108261,0.4402563297203632,0.2259430492011267,1.0,63,89,0,0,0.0,3.8949999809265137,0.0974999964237213,0.7547429030157604,0.3797624842107296,0.04992629999833298,-0.5739878449118274,0.49007632420484615
Release 1,67.73404680000021,0.005132099999173,-0.1335956594368654,0.7160777432209725,1.0310678693581266,-0.0209640288636201,0.4402563297203632,0.2259430492011267,1.0,53,53,0,0,0.0,3.8949999809265137,0.9337499737739564,0.7546774965120107,3.636956130039693,0.055221099999471335,-0.5738519891572287,0.4901346940198458
Release 1,67.73879139999917,0.004904900000838,-0.1335020692080336,0.7161332900918337,1.0309713300491574,-0.0205420833499669,0.4402563297203632,0.2259430492011267,1.0,53,53,0,0,0.0,3.896250009536743,0.9337499737739564,0.7546424137333964,3.6381233442217114,0.059965699998429045,-0.5737583989283968,0.49019024089070695
Release 1,67.743888099998,0.0049751999977161,-0.1334020581475047,0.7162142020282555,1.030871572776126,-0.0203282255895486,0.4402563297203632,0.2259430492011267,1.0,64,37,0,0,0.0,3.896250009536743,1.0762499570846558,0.7546189430869086,4.193338905555009,0.06506239999725949,-0.5736583878678679,0.49027115282712874
Release 1,67.74878180000087,0.0049997999994957,-0.1332998775812437,0.7162656416166843,1.030734672859258,-0.0234684134477333,0.4402563297203632,0.2259430492011267,1.0,64,37,0,0,0.0,3.893749952316284,1.0762499570846558,0.7545746931664995,4.190648219078781,0.06995610000012675,-0.573556207301607,0.49032259241555753
Release 1,67.75401079999938,0.0050921000001835,-0.1332164304865478,0.7162674429554744,1.0305942522458351,-0.0254964886082148,0.4402563297203632,0.2259430492011267,1.0,67,22,0,0,0.0,3.893749952316284,0.0949999988079071,0.7545124371472626,0.36990624082833534,0.07518509999863454,-0.573472760206911,0.49032439375434766
Release 1,67.75877970000147,0.0049132999993162,-0.1331095965347609,0.7163085133816494,1.0304686831897998,-0.025639137278968,0.4402563297203632,0.2259430492011267,1.0,67,22,0,0,0.0,3.8974997997283936,0.0949999988079071,0.7544579337851619,0.37026247632801557,0.0799540000007255,-0.5733659262551241,0.4903654641805226
Release 1,67.76393269999971,0.0050127000031352,-0.1329991672667149,0.7163431322763751,1.0303436396930592,-0.0253207814132162,0.4402563297203632,0.2259430492011267,1.0,35,9,0,0,0.0,3.8974997997283936,0.125,0.754396517957309,0.4871874749660492,0.08510699999897042,-0.5732554969870781,0.4904000830752484
Release 1,67.76938209999935,0.0054937999993853,-0.1328900104331452,0.7163491151731423,1.0302066679280883,-0.0251425932526455,0.4402563297203632,0.2259430492011267,1.0,35,9,0,0,0.0,3.902499914169311,0.125,0.7543174641843513,0.4878124892711639,0.09055639999860432,-0.5731463401535084,0.4904060659720155
Release 1,67.77420970000094,0.0046111000010569,-0.1327506077410523,0.7163996534221028,1.0300897021135915,-0.0252042050792214,0.4402563297203632,0.2259430492011267,1.0,0,6,0,0,0.0,3.902499914169311,1.2862499952316284,0.7542444106540542,5.019590495991706,0.09538400000019465,-0.5730069374614155,0.49045660422097603
Release 1,67.77913070000068,0.0051292999996803,-0.1326606751234112,0.7164991537602182,1.0299749940045564,-0.0240736575228649,0.4402563297203632,0.2259430492011267,1.0,0,6,0,0,0.0,3.9049999713897705,1.2862499952316284,0.7542408011764888,5.022806194579601,0.10030499999993481,-0.5729170048437744,0.4905561045590915
Release 1,67.78403629999957,0.0048456999975314,-0.1325609742869427,0.7166071348244937,1.0298502733509758,-0.024764518464804,0.4402563297203632,0.2259430492011267,1.0,30,1,0,0,0.0,3.9049999713897705,1.034999966621399,0.754235313871482,4.041674840044976,0.10521059999882709,-0.5728173040073059,0.49066408562336694
Release 1,67.78881669999828,0.0049479000008432,-0.1324612023792581,0.7167286338556054,1.0297344501737051,-0.0242969406449303,0.4402563297203632,0.2259430492011267,1.0,30,1,0,0,0.0,3.90999984741211,1.034999966621399,0.7542385973144832,4.046849711561209,0.10999099999753525,-0.5727175320996213,0.49078558465447863
Release 1,67.79394970000067,0.0050240000018675,-0.1321987736343642,0.7171656633544142,1.0296809788727517,-0.0183214200626684,0.4402563297203632,0.2259430492011267,1.0,62,0,0,0,0.0,3.90999984741211,0.1224999949336052,0.7543238707693541,0.47897496149838054,0.1151239999999234,-0.5724551033547274,0.4912226141532875
Release 1,67.79902229999789,0.0051092999965476,-0.1321193904010354,0.717255610775663,1.02957815063185,-0.0183835655354307,0.4402563297203632,0.2259430492011267,1.0,62,0,0,0,0.0,3.9175000190734863,0.1224999949336052,0.7543222110911372,0.4798937324889003,0.1201965999971435,-0.5723757201213986,0.4913125615745363
Release 1,67.8039686000011,0.0048724000007496,-0.1320249336937676,0.717323057839698,1.0294804961344228,-0.0189640836354789,0.4402563297203632,0.2259430492011267,1.0,11,0,0,0,0.0,3.9175000190734863,0.637499988079071,0.7542944765438204,2.497406215459108,0.12514290000035544,-0.5722812634141308,0.49138000863857123
Release 1,67.80876709999939,0.0049504000016895,-0.1318534104705111,0.7174397931986057,1.0293915667875118,-0.0187271904865547,0.4402563297203632,0.2259430492011267,1.0,11,0,0,0,0.0,3.913749933242798,0.637499988079071,0.7542404153725741,2.4950155357867487,0.12994139999864274,-0.5721097401908743,0.491496743997479
Release 1,67.82385739999881,0.0049562999993213,-0.1314718791499807,0.7175959867379255,1.0290891582344877,-0.0204466074069634,0.4402563297203632,0.2259430492011267,1.0,0,6,0,0,0.0,3.913749933242798,0.637499988079071,0.7540528866111812,2.4950155357867487,0.14503169999807142,-0.5717282088703439,0.49165293753679873
Release 1,67.82871769999838,0.0049209999997401,-0.1313456494436041,0.7176829320794783,1.0290033957356262,-0.0192322376040931,0.4402563297203632,0.2259430492011267,1.0,0,6,0,0,0.0,3.913749933242798,0.637499988079071,0.754013882496456,2.4950155357867487,0.14989199999763514,-0.5716019791639673,0.4917398828783516
Release 1,67.8739956999998,0.0050262000004295,-0.1298865932087521,0.7184291737697853,1.0281682558358451,-0.0180701857601521,0.4402563297203632,0.2259430492011267,1.0,4,0,0,0,0.0,3.9175000190734863,0.3499999940395355,0.7533960017539325,1.3711249833256005,0.19516999999905238,-0.5701429229291153,0.4924861245686586
Release 1,67.87910479999846,0.0053222999995341,-0.1297174427112909,0.7184999008009268,1.0280917083367036,-0.0164085008305426,0.4402563297203632,0.2259430492011267,1.0,4,0,0,0,0.0,3.9175000190734863,0.3499999940395355,0.7533142460606188,1.3711249833256005,0.2002790999977151,-0.5699737724316541,0.4925568515998001
Release 1,67.92387700000108,0.0049642999983916,-0.1281844253177428,0.7194905701428094,1.027671323068886,-0.0013191497359315,0.4402563297203632,0.2259430492011267,1.0,15,0,0,0,0.0,3.9187498092651367,0.1749999970197677,0.7528041228739204,0.6857812049426142,0.24505130000034114,-0.568440755038106,0.49354752094168264
Release 1,67.929140799999,0.0051421999996819,-0.1280293972008138,0.7193787971681604,1.0275542123103838,-0.0097095274377574,0.4402563297203632,0.2259430492011267,1.0,15,0,0,0,0.0,3.9187498092651367,0.1124999970197677,0.7526137819586594,0.44085934186354314,0.25031509999826085,-0.568285726921177,0.4934357479670337
Release 1,67.95388989999992,0.0049938999982259,-0.1271590262650724,0.7199313472109454,1.0274390634508632,-0.003198852275617,0.4402563297203632,0.2259430492011267,1.0,1,0,0,0,0.0,3.9175000190734863,0.2287499904632568,0.752319496476541,0.8961280920028684,0.2750641999991785,-0.5674153559854356,0.4939882980098187
Release 1,67.95907939999961,0.0052540000033332,-0.1269875607304072,0.720150356384329,1.0275048806050635,0.0037105075069578,0.4402563297203632,0.2259430492011267,1.0,1,0,0,0,0.0,3.9187498092651367,0.15625,0.7523340306851722,0.6123046576976776,0.28025369999886607,-0.5672438904507704,0.49420730718320227
Release 1,67.96386239999993,0.0047027000000525,-0.1268024364123076,0.7202538178116535,1.0274961439918475,0.0022307782067899,0.4402563297203632,0.2259430492011267,1.0,30,0,0,0,0.0,3.9187498092651367,0.15625,0.7522624410484926,0.6123046576976776,0.285036699999182,-0.5670587661326708,0.4943107686105268
Release 1,67.9687457,0.0050212999994982,-0.1266494466078056,0.7203435595121989,1.0274965474746698,0.0011247485985299,0.4402563297203632,0.2259430492011267,1.0,30,0,0,0,0.0,3.9187498092651367,0.1074999943375587,0.7522061046216605,0.42126558230631145,0.2899199999992561,-0.5669057763281689,0.49440051031107213
Release 1,67.97396269999808,0.0050415000005159,-0.1265157344093815,0.7204549264517319,1.0274981019986322,0.00081349554613,0.4402563297203632,0.2259430492011267,1.0,35,0,0,0,0.0,3.9187498092651367,0.1074999943375587,0.7521785488963435,0.42126558230631145,0.29513699999733944,-0.5667720641297447,0.4945118772506052
Release 1,67.97877399999925,0.0049767999989853,-0.1263582393103308,0.7205464308707851,1.0275099091028443,0.0014287183700677,0.4402563297203632,0.2259430492011267,1.0,35,0,0,0,0.0,3.9187498092651367,0.125,0.7521200535798132,0.4898437261581421,0.2999482999985048,-0.5666145690306941,0.49460338166965834
Release 1,67.98384090000036,0.0049782999994931,-0.126169709631245,0.7206550454962859,1.0275143646011735,0.0013215972153572,0.4402563297203632,0.2259430492011267,1.0,40,0,0,0,0.0,3.9187498092651367,0.125,0.7520494779825934,0.4898437261581421,0.305015199999616,-0.5664260393516082,0.49471199629515916
Release 1,67.98905989999912,0.0052657000014733,-0.1259944961641263,0.7207354412530066,1.0275303649966785,0.0019525873662326,0.4402563297203632,0.2259430492011267,1.0,40,0,0,0,0.0,3.913749933242798,0.15625,0.7519704176676685,0.6115234270691872,0.3102341999983764,-0.5662508258844895,0.49479239205187986
Release 1,67.99390339999809,0.004736299997603,-0.1257991911050045,0.7208427964587069,1.0275360712215054,0.0018429246486127,0.4402563297203632,0.2259430492011267,1.0,35,0,0,0,0.0,3.913749933242798,0.15625,0.7518940167952496,0.6115234270691872,0.3150776999973459,-0.5660555208253677,0.4948997472575801
Release 1,67.99874099999943,0.004946100001689,-0.1256156215114662,0.7209317609499126,1.0275471683761366,0.0019862027552652,0.4402563297203632,0.2259430492011267,1.0,35,0,0,0,0.0,3.913749933242798,0.209999993443489,0.7518143986048954,0.821887460320443,0.3199152999986836,-0.5658719512318294,0.4949887117487859
Release 1,68.00399839999955,0.0051595999975688,-0.1254262792476842,0.7209865032115489,1.027545824217284,0.0011020117199347,0.4402563297203632,0.2259430492011267,1.0,32,0,0,0,0.0,3.913749933242798,0.209999993443489,0.7517079455795753,0.821887460320443,0.3251726999988023,-0.5656826089680475,0.49504345401042216
Release 1,68.00872470000104,0.0048721000021032,-0.1252706666934137,0.7210760125683789,1.0275368907254556,-0.0002784713535656,0.4402563297203632,0.2259430492011267,1.0,32,0,0,0,0.0,3.912499904632568,0.2612499892711639,0.751649808811008,1.022140558108688,0.3298990000002959,-0.5655269964137769,0.4951329633672522
Release 1,68.01400590000048,0.0051636999996844,-0.1250848882020349,0.7211447760810478,1.0275352715140664,-0.0003908026945909,0.4402563297203632,0.2259430492011267,1.0,0,0,0,25,0.0,3.912499904632568,0.2612499892711639,0.7515553492503638,1.022140558108688,0.3351801999997406,-0.5653412179223981,0.49520172687992103
Release 1,68.0188307999997,0.0048982999978761,-0.1249105839055238,0.7212207174889125,1.0275521401269567,0.0012744429811023,0.4402563297203632,0.2259430492011267,1.0,0,0,0,25,0.0,3.912499904632568,0.1037499979138374,0.7514742902867647,0.40592185694351796,0.34000509999896167,-0.565166913625887,0.49527766828778574
Release 1,68.02401559999998,0.0050192000016977,-0.1247644889446094,0.7212779670522644,1.0275641948686358,0.0018986368516339,0.4402563297203632,0.2259430492011267,1.0,0,0,0,69,0.0,3.913749933242798,0.1037499979138374,0.7514021602094508,0.40605154740922156,0.3451898999992409,-0.5650208186649726,0.4953349178511377
Release 1,68.02883930000098,0.0049849999995785,-0.1246187949286344,0.7213315705187977,1.0275922798897918,0.0036729396091483,0.4402563297203632,0.2259430492011267,1.0,0,0,0,69,0.0,3.913749933242798,0.5487499833106995,0.751327953360268,2.1476702105492365,0.3500136000002385,-0.5648751246489976,0.49538852131767097
Release 1,68.03380319999997,0.0048620000015944,-0.1244587007928679,0.7213675008132999,1.027599648051418,0.0030344324549905,0.4402563297203632,0.2259430492011267,1.0,0,0,0,108,0.0,3.9149999618530273,0.5487499833106995,0.7512312912431045,2.148356163728238,0.35497749999922235,-0.5647150305132311,0.4954244516121732
Release 1,68.03887870000108,0.0051568999988376,-0.1243454260555224,0.7214638225350306,1.0276219588964624,0.0035303501337372,0.4402563297203632,0.2259430492011267,1.0,0,0,0,108,0.0,3.9149999618530273,0.4937499761581421,0.7512096774074751,1.9330311378240594,0.3600530000003346,-0.5646017557758856,0.4955207733339039
Release 1,68.04387270000007,0.0049509999989822,-0.1242543329275113,0.7215540471229378,1.0276461004686264,0.0041722715426508,0.4402563297203632,0.2259430492011267,1.0,1,0,0,107,0.0,3.9149999618530273,0.4937499761581421,0.7512007384875202,1.9330311378240594,0.365046999999322,-0.5645106626478745,0.49561099792181107
Release 1,68.04890909999813,0.005127700002049,-0.1240949469958054,0.7216188353589069,1.0276564229431449,0.0033597119781943,0.4402563297203632,0.2259430492011267,1.0,1,0,0,107,0.0,3.9149999618530273,0.1324999928474426,0.7511237238393572,0.5187374669432642,0.3700833999973838,-0.5643512767161686,0.4956757861577802
Release 1,68.05388550000134,0.0048518999974476,-0.1239104288865419,0.7216817528535407,1.0276815875246763,0.0042024144487874,0.4402563297203632,0.2259430492011267,1.0,0,0,0,61,0.0,3.903749942779541,0.1324999928474426,0.7510266265692568,0.5172468394964936,0.37505980000059935,-0.5641667586069051,0.495738703652414
Release 1,68.05881980000049,0.0050680000022111,-0.1237533341632774,0.7217447807991252,1.027695614808808,0.003716124450764,0.4402563297203632,0.2259430492011267,1.0,0,0,0,61,0.0,3.903749942779541,0.9749999642372132,0.7509502367066082,3.8061560546010758,0.37999409999974887,-0.5640096638836406,0.49580173159799845
Release 1,68.07398610000018,0.0049615999996603,-0.1232641887368541,0.7218661430201296,1.0278430711980635,0.0100762691215404,0.4402563297203632,0.2259430492011267,1.0,4,0,0,0,0.0,3.896250009536743,1.318750023841858,0.7506631000024595,5.138179792970419,0.3951603999994404,-0.5635205184572173,0.4959230938190029
