#{"t_start": 1766580948.9824572, "env_id": "None"}
r,l,t
-12.570144,17,0.687915
-16.393492,17,0.688002
-12.34554,18,0.689097
-12.04188,18,0.689123
-12.948027,18,0.689133
-12.079582,18,0.689141
-12.279116,19,0.690108
-9.911204,20,0.691093
-4.562177,17,0.703928
-4.2016535,18,0.704942
-4.4366097,18,0.706005
-4.0022826,18,0.706034
-4.3712096,19,0.707104
-4.3488903,17,0.707126
-4.4117355,19,0.70804
-3.9505582,20,0.708065
-4.1417584,18,0.721392
-3.5519366,19,0.723592
-4.2844896,17,0.725022
-3.7042804,19,0.725061
-3.41695,18,0.72507
-4.42682,19,0.725077
-4.062608,18,0.726272
-4.3087783,19,0.726291
-3.6665943,20,0.745633
-4.2899127,18,0.746618
-3.7645757,19,0.747574
-3.5026443,20,0.747596
-3.8538437,19,0.747606
-4.163724,19,0.747614
-3.7971754,18,0.74762
-3.453989,20,0.749341
-3.5976882,19,0.764794
-4.243966,18,0.765889
-4.1124096,18,0.765932
-3.7082098,20,0.767101
-4.04113,19,0.767128
-3.8715067,19,0.76714
-4.4196815,19,0.767152
-4.2464623,19,0.769053
-3.7487805,18,0.783477
-3.5377393,19,0.783537
-3.7548735,18,0.783547
-3.8320928,18,0.784598
-4.2495003,18,0.784625
-3.711297,19,0.785614
-3.3718224,19,0.785636
-3.3717387,18,0.786602
-3.9233127,17,0.801441
-4.289287,18,0.802814
-4.627564,17,0.80284
-3.9007611,19,0.804306
-3.8643425,17,0.804389
-3.775974,19,0.807304
-3.9210825,20,0.807353
-4.077543,20,0.809586
-3.680723,19,0.825769
-4.2102175,20,0.825836
-4.386259,18,0.825846
-3.7581062,18,0.825853
-4.067788,19,0.82586
-3.896304,18,0.827638
-4.256416,19,0.828566
-3.63051,19,0.830355
-4.181597,18,0.842346
-4.1251926,18,0.842393
-4.301249,19,0.843314
-3.9833636,19,0.843348
-4.1625605,17,0.843357
-4.43537,20,0.844436
-4.3018756,19,0.846348
-3.7779016,20,0.849187
-3.9264069,17,0.858374
-4.152554,18,0.859365
-3.2901325,18,0.860747
-4.158635,18,0.860799
-4.0733614,17,0.86081
-3.4622865,18,0.86082
-3.855755,18,0.864354
-3.788627,18,0.868208
-4.0592246,18,0.880069
-4.199957,18,0.882176
-3.9191823,19,0.883262
-4.0875487,19,0.883283
-3.9831846,20,0.883292
-4.017484,19,0.883299
-3.7721977,18,0.885524
-4.0289392,17,0.887423
-4.3322954,19,0.900963
-3.9652004,18,0.903226
-4.4026184,20,0.904613
-3.3725781,19,0.904648
-4.5261736,19,0.904658
-3.9866002,18,0.90567
-3.922944,21,0.907008
-3.6437225,19,0.909415
-3.4794734,18,0.920932
-3.7436564,17,0.923567
-3.9016302,19,0.926311
-4.051023,21,0.927531
-3.7035446,20,0.927563
