#{"t_start": 1774617788.4858, "env_id": "None"}
r,l,t
6.5551424,47,1.460547
8.996007,48,1.461589
10.466077,56,1.46893
0.3605845,56,1.468979
5.0480633,67,1.480908
1.2079494,73,1.488845
7.657989,75,1.491391
6.76872,75,1.49143
-2.5643673,44,1.5162
-2.6695666,75,1.53642
0.07432741,75,1.537435
-0.46875796,75,1.544701
5.1547084,65,1.555414
-3.9120994,75,1.557714
1.2553179,74,1.563014
0.7145396,75,1.566602
-4.3612747,71,1.586012
0.5749716,30,1.592337
-1.6144757,72,1.608185
-7.556973,75,1.61171
-6.3432674,75,1.619242
-0.12104261,75,1.627525
-4.139718,75,1.629587
4.1424174,71,1.63324
0.6703723,49,1.637592
1.0613731,61,1.643044
-0.74539024,52,1.65644
-0.82285595,42,1.668541
-1.5887198,68,1.675017
0.20960319,63,1.686464
-2.7869678,75,1.68941
-5.5332904,65,1.693588
-3.6146472,65,1.698824
0.04414451,49,1.702033
-1.8290255,75,1.713438
-3.0412278,72,1.735629
1.1630919,48,1.739107
-1.2480462,72,1.742785
-0.053421676,64,1.749073
-1.1869179,41,1.75226
-1.9088514,57,1.752295
0.01030916,75,1.757379
1.7771308,75,1.775947
-0.47483346,41,1.781477
0.90236014,47,1.79848
-1.6288675,70,1.807428
0.027241945,57,1.811221
-2.906186,73,1.816793
-1.880003,72,1.825253
1.178252,75,1.832832
-1.1175108,60,1.839276
-4.130813,72,1.845784
-2.1403103,68,1.861983
-1.005192,72,1.8746
0.52442193,75,1.880976
-2.243837,75,1.88675
-4.4603353,75,1.895009
-3.4363887,75,1.903118
-0.70002687,71,1.906158
-1.5248346,75,1.916341
0.2588212,71,1.929784
-2.6409986,68,1.938796
-0.22102058,56,1.93981
-1.8908083,75,1.951177
3.521418,61,1.961752
0.90446407,75,1.964818
1.5516034,75,1.97184
1.1020098,75,1.983994
-6.0142045,75,1.996416
-7.4722342,75,2.004921
-0.5347407,75,2.005943
1.1859312,51,2.006794
-3.8695493,75,2.017022
0.48156607,70,2.025874
-5.4973927,67,2.030393
-0.09836978,45,2.0448
0.22930998,72,2.047787
-0.34308413,49,2.061289
-1.820224,75,2.063387
1.391453,75,2.073102
-3.2611609,75,2.073928
-0.5084368,47,2.089707
-0.9065735,74,2.092508
1.739517,75,2.098054
-1.4977489,46,2.102408
0.1020655,66,2.104394
-1.0719312,53,2.110667
0.071955144,54,2.121662
1.536427,75,2.143325
-1.963375,51,2.146349
1.2956629,75,2.159657
-2.080984,62,2.162576
-9.705776,75,2.162608
-3.8608413,62,2.169487
-0.13466606,75,2.173541
-3.286543,75,2.193534
-0.43143117,50,2.193571
0.120532155,44,2.207608
-2.336144,67,2.210314
-2.645115,55,2.221573
1.3192787,69,2.233229
-0.64738935,75,2.249994
-2.2697628,73,2.251954
0.8100052,54,2.253738
-1.4099152,59,2.259028
-2.0082664,48,2.262491
0.240417,60,2.281947
-0.7350825,75,2.285687
-0.71274126,38,2.286596
-2.5651047,75,2.306653
0.9828554,75,2.323158
-4.6208997,75,2.325352
-2.5567713,69,2.327217
-1.2431476,75,2.330264
-3.6941516,56,2.339474
-1.4805782,74,2.351704
-3.2182448,73,2.354624
0.16595691,56,2.359293
-0.034627974,48,2.368513
0.15327775,55,2.390322
-3.815137,69,2.391298
0.48156363,75,2.394899
-8.360308,75,2.399636
-1.247669,53,2.400611
-0.0079372525,56,2.420651
-2.8470829,75,2.424712
0.64846504,75,2.42891
-1.2961297,41,2.439526
0.45574427,74,2.45935
-0.68989813,75,2.461065
-1.2646648,75,2.464844
-1.5205905,75,2.469103
-1.5894957,63,2.481918
-5.0206056,75,2.4897
-2.2928765,71,2.494491
-0.031725585,45,2.500938
-2.4382546,75,2.508387
-0.5594267,75,2.532624
-8.549633,75,2.536822
0.1198293,70,2.536861
-0.13380289,39,2.541097
-3.4092255,75,2.557525
3.66645,71,2.561724
-5.8074045,75,2.571078
3.1268144,65,2.576117
-3.4518244,64,2.604969
-4.5672426,67,2.610674
-6.0169725,75,2.611761
-2.785849,75,2.615652
-0.561573,56,2.615692
1.3721957,75,2.638679
0.31130177,75,2.647567
-0.92508113,70,2.647608
-2.4009104,48,2.663757
-1.2058091,75,2.679949
-0.24914274,73,2.684554
-1.4705143,75,2.685615
-2.0944674,75,2.690643
-1.8298824,43,2.690681
-3.0322614,55,2.693613
-5.488861,75,2.720923
0.0020944476,43,2.725608
-3.0997708,75,2.735673
0.98597187,54,2.741656
-0.40238482,66,2.742496
-4.844676,68,2.749573
-3.965361,75,2.760568
-3.3205733,75,2.763323
-1.0741957,64,2.780102
2.335481,75,2.794866
-1.4383285,70,2.800662
0.86198586,47,2.804837
-5.2550993,70,2.807978
2.3889892,75,2.811603
-0.84389234,40,2.818369
-1.0285838,75,2.820413
-0.4255913,75,2.835066
-1.0592309,43,2.863221
0.34423995,53,2.88574
1.9869949,67,2.887598
-0.2548316,71,2.909089
-0.60368806,75,2.92647
-2.2151458,70,2.95262
0.71353453,75,2.956843
-3.3033066,73,2.980294
-0.5662159,47,3.002348
-0.7554391,75,3.005834
0.74060243,60,3.007943
-0.9042258,73,3.010961
-3.1708734,74,3.010996
0.35309392,43,3.02689
-2.9198902,75,3.0405
-4.5968237,75,3.043047
-1.3149602,41,3.050082
-2.2192354,53,3.058623
-4.0526776,71,3.072503
-3.0017438,75,3.078928
0.26431155,75,3.084233
-1.9351845,75,3.10007
-2.955386,75,3.113174
-2.325853,75,3.11612
-0.4228028,75,3.122122
1.045769,75,3.130778
-3.9812095,55,3.130816
-3.315282,53,3.133344
-2.7716246,70,3.137765
-1.946031,75,3.173119
-8.7252865,73,3.197853
-2.3338053,65,3.202365
-1.8684608,75,3.209603
2.7846131,63,3.227271
0.27341747,75,3.233627
0.26900715,75,3.233666
-0.45021784,75,3.239726
-1.4018257,43,3.280388
-0.14408293,51,3.309706
-0.9226945,75,3.322222
0.6567685,75,3.354618
-1.848081,54,3.356831
-1.7173998,75,3.383706
-6.110297,75,3.388735
-1.9094527,75,3.388773
-1.1279235,36,3.406823
-2.9192207,75,3.411512
-2.4968698,74,3.424528
0.6063627,69,3.426346
-0.68596697,57,3.429044
0.95274955,64,3.452692
-3.664938,75,3.458855
0.72806865,54,3.458889
-4.1363335,75,3.462665
-0.51470125,56,3.465667
-0.18461138,52,3.474694
-0.78368086,59,3.491111
-4.2830753,75,3.503844
-0.8210533,49,3.515509
0.61455137,53,3.525042
-4.5820436,75,3.532684
0.87398547,75,3.539674
-0.2654759,74,3.543016
0.71963143,68,3.551562
-0.28165287,75,3.569721
-3.6550496,66,3.572129
-1.1438909,52,3.587001
-2.04256,52,3.6169
-1.4058033,75,3.634862
-0.24943241,46,3.635036
2.9377038,56,4.694712
-3.106162,54,4.719155
-0.46649036,75,4.720965
-0.75669754,71,4.732383
0.57816285,49,4.732417
-2.1208358,75,4.744581
0.5574249,75,4.751684
-0.049978673,65,4.752563
-1.5245959,75,4.755298
-0.65819025,36,4.783995
-2.563076,75,4.785643
-1.9866755,75,4.787426
-2.6054835,63,4.788303
-3.5262113,72,4.796299
-0.47331,66,4.802994
-2.9632628,67,4.814448
-1.3436464,75,4.818613
-2.1607392,75,4.850151
0.010249555,75,4.851918
1.0758374,73,4.852752
0.5347028,75,4.853652
0.567681,69,4.857279
-1.4596307,56,4.868878
2.526651,75,4.869801
-0.28254637,75,4.881585
-1.6615694,46,4.895443
-0.7486692,66,4.912964
-2.2528954,74,4.91763
-1.1175082,75,4.92047
-1.4435289,75,4.925874
0.3419931,60,4.937211
1.0163083,75,4.938057
2.6396067,75,4.939061
-0.042285502,48,4.957224
0.14418638,47,4.960586
-0.9864956,73,4.962194
-0.25253376,52,4.973045
1.290696,75,4.988127
0.25250793,40,4.999249
-3.632909,69,5.000135
1.40484,75,5.005825
-1.3594499,75,5.006722
0.7108476,71,5.020329
-0.9863106,75,5.027431
0.63388556,39,5.032998
-0.67950416,70,5.035928
-0.05856663,41,5.043274
3.86052,75,5.055791
-0.09233928,75,5.06677
-6.376905,71,5.069272
0.7330769,38,5.070173
1.0660088,59,5.073983
-1.9654711,48,5.076561
-3.604243,75,5.095218
-0.18311298,74,5.109071
0.3306206,47,5.110778
-1.9067789,63,5.12227
1.019628,75,5.1223
-1.8734713,61,5.127432
-4.428783,67,5.129269
-4.2744875,75,5.142428
-3.1683457,75,5.160621
-1.0231748,64,5.164889
-0.29461342,75,5.175892
1.1425786,57,5.176685
3.0726755,65,5.185431
-6.85097,75,5.187122
-0.3441071,75,5.187139
0.7426725,72,5.20493
-2.2718978,63,5.218845
-5.3124437,71,5.221903
3.2995508,71,5.236982
-1.2486768,75,5.241347
-0.6947218,65,5.243034
-1.8201215,49,5.246651
-1.844276,69,5.246667
1.1778135,75,5.250235
-2.8035498,68,5.277755
4.060116,66,5.278685
-1.8583739,68,5.299565
-2.6061788,68,5.301309
-1.2856871,64,5.301324
-1.323779,75,5.30133
-1.2778018,63,5.304058
-5.8789425,70,5.306787
-0.034184694,65,5.334346
0.7898567,41,5.336864
-8.188886,75,5.342337
0.49246573,56,5.348289
-0.91545224,59,5.352636
1.8156208,75,5.367759
0.40389442,75,5.370927
-0.017366946,75,5.373702
-0.27480254,54,5.383548
-1.1091549,75,5.404879
-4.5775313,75,5.410083
0.7498593,75,5.416034
2.100794,70,5.416065
-2.6445796,61,5.42205
1.6236216,75,5.435734
-2.4557285,75,5.438584
-2.1399512,65,5.439578
0.31434262,62,5.462388
-2.1654515,75,5.468289
-2.4842582,73,5.478203
-7.520979,75,5.480103
2.1356764,75,5.486052
1.8376229,64,5.49193
0.5397407,66,5.497246
2.303321,75,5.50502
0.13908327,51,5.508277
-2.8917596,51,5.532055
-0.7991216,63,5.534684
1.466752,75,5.535488
-0.9397916,75,5.546548
-0.25952777,67,5.550767
-4.8182793,66,5.555192
-2.683535,62,5.558515
-1.7965127,69,5.567428
-0.74777645,49,5.576419
0.8175336,63,5.586007
-1.0405989,62,5.588336
-0.93116754,55,5.598099
0.14407033,57,5.607462
-1.4045706,73,5.609203
0.3471316,75,5.619411
-1.4276264,70,5.628172
0.43865073,72,5.639323
-3.4713004,74,5.65058
-2.7840137,75,5.654073
1.6279228,75,5.664247
0.27712786,53,5.666803
-1.8853672,72,5.673008
0.2600175,75,5.673999
0.05497706,37,5.683332
-2.2219028,75,5.694785
-2.501183,71,5.702235
0.32103094,60,5.719502
0.29694253,75,5.720374
0.1475175,55,5.721377
-1.3484107,75,5.730532
1.7670254,75,5.739919
0.22440338,75,5.749179
-1.0716643,70,5.75575
-0.79250467,75,5.766413
-2.241969,56,5.768244
-1.0894958,58,5.769109
-2.241302,65,5.776821
-2.9285219,56,5.787311
0.8290979,50,5.791521
-3.6143928,75,5.794207
-3.0725873,75,5.82059
-3.5255558,61,5.822602
-4.063433,66,5.826044
1.9141283,75,5.83222
-3.762535,68,5.836531
-0.06386942,70,5.852535
-4.3374295,75,5.852568
-5.9166446,75,5.859638
-0.5700624,52,5.866273
-1.1439135,40,5.871382
2.3502607,61,5.875585
-1.5081792,65,5.88893
-1.2419921,75,5.891513
0.19001043,57,5.903652
-1.9471843,53,5.90768
0.20085466,38,5.910348
-5.7385416,65,5.911341
-3.110484,75,5.935748
-3.9119372,75,5.941251
-1.949093,75,5.95842
-0.697742,75,5.960667
0.9124009,68,5.965793
0.7272843,75,5.974948
1.2551408,75,5.97745
1.388678,75,5.978322
-2.012423,49,5.982895
-6.564858,75,6.000419
-1.276787,66,6.017926
-0.22578728,71,6.019839
0.4994986,46,6.023916
-0.29034042,58,6.02888
-3.626289,75,6.031371
-0.8047211,75,6.041774
-0.93713295,75,6.04513
-0.7425907,60,6.05414
-0.4064207,42,6.056058
-0.5939185,48,6.07235
-0.20834303,65,6.078657
-0.55966234,71,6.087921
-1.905904,47,6.098339
0.18561849,74,6.098372
0.072312474,65,6.100297
0.4361838,75,6.112291
-1.0105245,75,6.120626
-0.36455828,63,6.127911
0.84400576,75,6.143983
-0.15558249,70,6.148558
-0.6677124,63,6.153361
-0.41570437,71,6.160169
-0.53153086,75,6.16531
0.29457724,63,6.167061
2.3050556,75,6.186114
-2.5271807,74,6.192113
-0.39337036,46,6.192985
1.2084858,74,6.208802
-0.6295629,51,6.20974
1.289144,50,6.210647
-4.4733915,74,6.21341
-3.5944836,71,6.222153
-1.0302076,45,6.232883
-4.4780025,73,6.250352
-2.1526291,69,6.252909
0.6638031,75,6.27562
-1.565022,75,6.276433
1.6461596,75,6.277354
-0.8953974,75,6.279949
0.3070382,75,6.288737
-3.74436,73,6.297894
0.068201184,75,6.317464
0.3016786,42,6.317495
-0.25130963,75,6.319978
-1.7352545,64,6.33279
0.8253293,66,6.335329
1.2370038,75,6.344121
1.276225,70,6.351223
-2.1273928,44,6.359408
-0.48170233,72,6.3621
-0.26433718,63,6.374015
-0.20705235,47,6.377418
-7.344924,75,6.384518
0.6549659,75,6.399193
-1.2229893,53,6.409077
-1.0175455,75,6.410721
-2.2092385,74,6.416885
-1.218128,69,6.421508
1.3643465,75,6.440506
-1.2986776,75,6.443876
-2.7787993,56,6.449086
0.1663211,75,6.450701
-2.8328383,75,6.475199
-1.1432123,73,6.475232
1.1290331,63,6.476194
-2.1420655,75,6.48343
-3.0387654,67,7.246326
-1.0334241,72,7.247244
-1.1402478,65,7.251581
-1.1837461,75,7.258446
-0.9333992,61,7.272259
1.9326766,65,7.275851
-0.50046563,72,7.282495
0.017723143,64,7.282517
-0.31976864,51,7.290749
-0.5364144,54,7.294187
0.9044702,59,7.303021
0.8160549,55,7.324526
0.6286507,47,7.324561
1.3713328,75,7.324567
-2.2510386,75,7.338837
0.068666756,54,7.342333
-0.4602191,48,7.345678
0.51591253,75,7.348955
-0.6671393,75,7.35647
-1.312242,54,7.3705
0.6085573,64,7.379027
-2.2671986,64,7.379056
0.6808378,43,7.381919
-0.22738177,62,7.391956
-0.14374265,72,7.405673
-1.3452346,60,7.410092
-1.0957376,75,7.414978
1.0177305,69,7.431584
-0.10310954,65,7.439349
0.16321617,56,7.441043
-3.7054644,75,7.445119
-1.1697662,75,7.445137
0.6268703,38,7.446933
-2.0670495,66,7.461867
-1.2235155,75,7.474375
-1.2393506,42,7.482136
-0.37013575,56,7.490074
-0.036477804,52,7.492738
-0.27221408,75,7.497203
-2.761198,71,7.502066
3.5391338,75,7.512046
1.8430539,75,7.529118
-0.7452613,44,7.530163
-1.4276001,54,7.531053
0.03809607,46,7.534411
0.7816836,75,7.541088
-2.3568728,50,7.555976
-3.8506613,75,7.563473
-0.5278269,74,7.567247
0.017735958,47,7.58215
0.61427146,66,7.586268
-0.42097262,69,7.594553
1.5628891,75,7.595554
0.23281807,75,7.596575
-3.1742878,49,7.599206
-0.7438381,44,7.602439
0.29356503,63,7.622293
-0.21906191,47,7.638756
-2.2199779,75,7.646331
-0.64206433,65,7.649532
-2.4082146,75,7.650381
-6.149658,75,7.658248
-3.3410568,75,7.659162
-0.11464673,75,7.665256
-1.3963528,60,7.6723
1.1188644,49,7.679849
-1.0948088,54,7.694997
